Student,Race,Homework #1 (252825),Homework #2 (252827),Homework #3 (252828),Homework #4 (252829),Homework #5 (252830),Homework #6 (252831),Homework #7 (252832),Homework #8 (252833),Homework #9 (252834),Homework #10 (252826),Quiz #1 (252805),Quiz #2 (252815),Quiz #3 (252806),Midterm #1 (252811),Midterm #1 Take-Home (252836),Midterm #2 (252820),Midterm #2 Take-Home (252837),Final Exam (252808),Final Exam Written Portion (252824),Journal #1 (252812),Journal #2 (252810),Journal #3 (252818),Journal #4 (252819),Journal #5 (252809),Journal #6 (252814),Journal #7 (252816),Journal #8 (252817),Journal #9 (252807),Journal #10 (252813),Journal #11 (252821),Individual Project Paper + PowerPoint (252835),Homework Final Score,Quizzes Final Score,Midterms Final Score,Final Exam Final Score,Journals Final Score,Project Final Score,Final Score,Final Grade
Student 127,black,9,9,10,0,9.5,9.5,8.5,9,9.5,9,12,15,16.5,20,22.5,17,9.5,16,18.5,3,3,3,3,3,3,3,3,3,3,3,100,92.22,78.75,69,69,100,100,79.27,C+
Student 128,caucasian,10,10,10,9.5,10,10,9,10,9.5,9.5,20,20,18,25,27.5,25,27,24,25,3,3,3,3,3,3,3,3,3,3,3,100,98.33,100,104.5,98,100,100,100.52,A
Student 129,asian,9.5,9,10,10,10,10,8,10,10,8.5,20,20,20,20,23.5,21,22,18,10,3,3,3,3,3,3,3,0,3,3,3,100,96.67,100,86.5,56,100,100,84.28,B
Student 130,caucasian,9,9.5,8,9,8.5,10,9,8,9,8,14,14.5,16.5,20,18.25,18,21,19,19.5,3,3,0,0,3,3,3,3,3,3,2,82,88.89,77.5,77.25,77,96.3,82,80.97,B-
Student 131,hispanic/latinx,10,10,10,8.5,10,10,9,10,7,8,20,18,20,22,19.75,18,21.25,17,23,3,3,3,3,3,3,3,3,3,3,3,97,95,100,81,80,100,97,88,B+
Student 132,hispanic/latinx,9,9,10,10,0,10,9,9,10,7,16,18,19,0,17,19,12.25,19,18,3,3,3,3,0,3,3,3,3,3,0,100,92.22,92.5,48.25,74,100,100,75.67,C
Student 133,hispanic/latinx,8,10,10,9.5,10,0,10,10,10,9,20,17,20,22,24,22,22,21,20.5,3,3,0,3,3,3,3,3,3,3,0,97,96.11,100,90,83,100,97,91.67,A-
Student 134,caucasian,10,8.5,8.5,9,8,9.5,8.5,10,10,9.5,16,19,13.5,24,24.5,25,26,22,20,3,3,3,3,3,3,3,3,3,3,3,99,92.78,87.5,99.5,84,100,99,93.06,A
Student 135,caucasian,9,10,10,10,10,10,10,9,10,8,20,18,17,22,23.25,21,24.25,20,23,3,3,3,3,3,3,3,3,3,3,3,98,97.78,95,90.5,86,100,98,92.51,A-
Student 136,caucasian,9.5,10,10,10,10,9,7,10,9.5,8,12,20,18.5,20,23,20,18.75,20,24.25,3,3,2,3,3,3,3,3,3,3,3,72,95.56,96.25,81.75,88.5,100,72,87.59,B+
Student 137,black,8.5,7.5,9.5,0,0,9,0,0,0,0,16,0,12.5,18,12.75,17,7.5,14,8.75,3,0,3,3,0,0,0,0,3,0,0,85,38.33,71.25,55.25,45.5,44.44,85,53.46,F
Student 138,asian,10,10,10,10,10,10,7.5,10,10,10,20,19,20,22,26.75,25,23,20,25,3,3,3,3,3,3,3,3,3,3,3,98,100,100,96.75,90,100,98,96.33,A
Student 139,hispanic/latinx,0,9.5,8,7,8,9.5,8.5,9.5,7.5,5.5,14,17,20,21,23,15,22.5,15,16,3,3,3,3,3,3,3,3,3,3,3,100,81.11,92.5,81.5,62,100,100,80.42,B-
Student 140,hispanic/latinx,10,9,10,10,10,10,7,9,10,10,19,18,20,21,23.25,20,21.5,20,22.5,3,3,3,3,3,3,3,3,3,3,3,98,97.78,97.5,85.75,85,100,98,91.08,A-
Student 141,caucasian,8.5,9.5,4.25,8,3.5,6.5,7,4.25,3.75,8.5,13,20,19,15,22.5,12,20,14,13.5,3,3,0,0,0,3,2,0,3,0,3,83,66.94,97.5,69.5,55,62.96,83,69.19,D+
Student 142,caucasian,9,8,8,7,7,10,8.5,8.5,10,8,20,19,14.5,25,22.75,24,20.75,21,15,3,3,3,3,3,3,3,3,3,0,3,93,85.56,97.5,92.5,72,100,93,86.91,B
Student 143,caucasian,8,9,10,9.5,9.5,10,8,9,9.5,10,15,13.5,14.5,20,21.25,21,15,21,13,3,3,3,3,3,3,3,3,3,3,3,100,93.89,73.75,77.25,68,100,100,81.33,B-
Student 144,hispanic/latinx,8.5,9.5,10,10,8.5,9,8,9,9,8,16,19,18,17,23.75,17,19.5,21,11,3,3,3,3,3,3,3,3,3,3,3,80,90.56,92.5,77.25,64,100,80,79.54,C+
Student 145,caucasian,8,8,9.5,9,9.5,9,10,8.5,9.5,7,19,19,17.5,24,23.5,20,17.75,19,16.5,3,3,3,3,3,3,3,2,3,3,2,97,90,95,85.25,71,100,97,85.53,B
Student 146,caucasian,9.5,9.5,8.5,10,7,9,8,8.5,8,6.5,16,17.5,12.5,19,20.75,18,19,21,16.5,3,3,3,3,3,3,3,3,3,3,3,100,86.67,83.75,76.75,75,100,100,82.48,B-
Student 147,caucasian,10,10,9,9,9,10,8.5,10,10,8,17,20,19,24,26,24,23.75,23,24,3,3,3,3,0,3,3,3,3,3,3,100,95,97.5,97.75,94,100,100,96.58,A
Student 148,caucasian,10,9.5,10,10,7,9,9,0,0,9,20,20,15.5,22,23.25,15,21.5,23,23,3,3,3,3,3,3,3,0,3,3,3,100,81.67,100,81.75,92,100,100,88.86,B+
Student 149,asian,9.5,10,9.5,10,9.5,10,9.5,10,10,9,17,20,18,22,21.25,18,24.5,23,21.5,3,3,3,3,3,3,3,3,3,3,3,99,97.78,95,85.75,89,100,99,91.93,A-
Student 150,caucasian,9.5,10,10,9,8.5,10,9,10,9,7.5,18,19,19,25,24.5,25,23.25,20,25,3,3,3,3,3,3,3,3,3,3,3,100,94.44,95,97.75,90,100,100,95.21,A
Student 151,caucasian,10,10,10,10,10,10,7.5,8.5,10,10,20,18,20,23,24.5,23,21.5,20,25,3,3,3,3,3,3,3,3,3,3,3,98,98.33,100,92,90,100,98,94.57,A
Student 152,caucasian,9,8.5,9,9.5,9,9.5,8,9,9.5,8.5,15,18.5,10,21,18.5,20,13,16,24,3,3,3,3,3,3,3,3,3,3,3,97,90.56,83.75,72.5,80,100,97,82.94,B-
Student 153,asian,10,9,10,9.5,9.5,10,9.5,10,10,9,19,20,18,21,25,23,24.5,24,22.5,3,3,3,3,3,3,3,3,3,3,3,100,97.22,97.5,93.5,93,100,100,95.49,A
Student 154,asian,10,9,8,10,8,9,8,10,10,6.5,20,20,20,22,24,18,23.25,20,23.5,3,3,3,3,3,3,3,3,3,3,0,90,91.11,100,87.25,87,100,90,90.15,A-
Student 155,hispanic/latinx,9,10,10,10,8.5,10,9.5,10,6,9.5,19,19,16.5,23,23.25,21,23.5,21,23,3,3,3,3,3,3,3,3,3,3,3,98,96.11,95,90.75,88,100,98,92.75,A-
Student 156,hispanic/latinx,9.5,9,8.5,9,8,10,9.5,9,8.5,9.5,14,19,17,25,25,17,23.5,22,21,3,3,3,3,3,3,3,3,3,3,3,96,91.67,90,90.5,86,100,96,90.58,A-
Student 157,hispanic/latinx,8.5,8,7,10,9.5,10,9,9,9,4.5,18,19,17.5,22,22.25,23,20.25,20,21.5,3,3,3,3,3,3,3,3,3,3,0,100,88.89,92.5,87.5,83,100,100,89.03,B+
Student 158,hispanic/latinx,10,9.5,10,10,9,9,7.5,9,10,9,18,15,10,19,20.75,18,23.75,16,18.5,3,3,3,3,3,3,3,3,3,3,3,90,95,82.5,81.5,69,100,90,82.95,B-
Student 159,hispanic/latinx,0,7.5,8.5,7,6,9,8,8.5,7.5,8.5,18,18,19,25,23.75,24,22,19,19,0,3,3,3,3,3,3,3,3,3,2,100,78.33,92.5,94.75,76,100,100,87.34,B+
Student 160,caucasian,9,7.5,9,8.5,6.5,8.5,8,8,6,6,17,15.5,11,19,19.5,14,10,21,15.5,3,3,3,0,3,3,3,3,3,3,3,95,78.89,81.25,62.5,73,100,95,75.4,C
Student 161,caucasian,10,10,10,10,9.5,10,10,9,10,9,16,20,19,22,20.75,21,23.25,21,21.5,3,3,3,3,3,3,3,3,3,3,3,99,98.33,97.5,87,85,100,99,91.67,A-
Student 162,hispanic/latinx,10,9.5,10,10,8,10,8.5,9.5,9,7.5,20,20,17.5,21,24,15,22,18,20.5,3,3,3,3,3,3,3,3,3,3,3,95,93.89,100,82,77,100,95,87.13,B+
Student 163,caucasian,10,10,10,9.5,9.5,10,8,10,8,8.5,17,18.5,16.5,22,20.5,20,13.25,21,20.5,3,3,3,3,3,3,3,3,3,3,3,100,95,88.75,75.75,83,100,100,86.35,B
Student 164,asian,10,10,10,10,10,9,10,10,10,6.5,20,20,15.5,24,24.5,24,24.5,24,24.5,3,3,3,3,3,3,3,3,3,3,3,100,98.89,100,97,97,100,100,98.13,A
Student 165,caucasian,4.5,9.5,4.25,4.5,4.5,4.5,4.5,4,4.25,2,16,18,14,10,21.25,20,3.5,17,20,2,3,2,0,0,0,0,0,3,0,0,100,49.44,85,54.75,74,37.04,100,65.17,D
Student 166,caucasian,10,10,10,10,10,10,9,10,9.5,9.5,18,20,19,22,24.5,21,21,21,25,3,3,3,3,3,3,3,3,3,3,3,100,98.89,97.5,88.5,92,100,100,94.08,A
Student 167,asian,9.5,10,9.5,9,9,9,7,9,10,9,16,14,20,20,23.5,17,15,11,21,3,3,3,3,3,3,3,3,3,3,3,100,93.33,90,75.5,64,100,100,81.32,B-
